Type,FileName,InnerLink
"File","File:Character Razor Card.jpg","/wiki/File:Character_Razor_Card.jpg"
"File","File:Character Razor Card.png","/wiki/File:Character_Razor_Card.png"
"File","File:Character Razor Card.png","/wiki/File:Character_Razor_Card.png"
"File","File:Character Rosaria Card.png","/wiki/File:Character_Rosaria_Card.png"
"File","File:Character Rosaria Card.png","/wiki/File:Character_Rosaria_Card.png"
"File","File:Character Sangonomiya Kokomi Card.png","/wiki/File:Character_Sangonomiya_Kokomi_Card.png"
"File","File:Character Sangonomiya Kokomi Card.png","/wiki/File:Character_Sangonomiya_Kokomi_Card.png"
"File","File:Character Sayu Card.png","/wiki/File:Character_Sayu_Card.png"
"File","File:Character Sayu Card.png","/wiki/File:Character_Sayu_Card.png"
"File","File:Character Shenhe Card.png","/wiki/File:Character_Shenhe_Card.png"
"File","File:Character Shenhe Card.png","/wiki/File:Character_Shenhe_Card.png"
"File","File:Character Shikanoin Heizou Card.png","/wiki/File:Character_Shikanoin_Heizou_Card.png"
"File","File:Character Shikanoin Heizou Card.png","/wiki/File:Character_Shikanoin_Heizou_Card.png"
"File","File:Character Sucrose Card.jpg","/wiki/File:Character_Sucrose_Card.jpg"
"File","File:Character Sucrose Card.jpg","/wiki/File:Character_Sucrose_Card.jpg"
"File","File:Character Sucrose Card.png","/wiki/File:Character_Sucrose_Card.png"
"File","File:Character Sucrose Card.png","/wiki/File:Character_Sucrose_Card.png"
"File","File:Character Tartaglia Card.png","/wiki/File:Character_Tartaglia_Card.png"
"File","File:Character Tartaglia Card.png","/wiki/File:Character_Tartaglia_Card.png"
"File","File:Character Thoma Card.jpg","/wiki/File:Character_Thoma_Card.jpg"
"File","File:Character Thoma Card.jpg","/wiki/File:Character_Thoma_Card.jpg"
"File","File:Character Thoma Card.png","/wiki/File:Character_Thoma_Card.png"
"File","File:Character Thoma Card.png","/wiki/File:Character_Thoma_Card.png"
"File","File:Character Tighnari Card.png","/wiki/File:Character_Tighnari_Card.png"
"File","File:Character Tighnari Card.png","/wiki/File:Character_Tighnari_Card.png"
"File","File:Character Venti Card.jpg","/wiki/File:Character_Venti_Card.jpg"
"File","File:Character Venti Card.jpg","/wiki/File:Character_Venti_Card.jpg"
"File","File:Character Venti Card.png","/wiki/File:Character_Venti_Card.png"
"File","File:Character Venti Card.png","/wiki/File:Character_Venti_Card.png"
"File","File:Character Xiangling Card.jpg","/wiki/File:Character_Xiangling_Card.jpg"
"File","File:Character Xiangling Card.jpg","/wiki/File:Character_Xiangling_Card.jpg"
"File","File:Character Xiangling Card.png","/wiki/File:Character_Xiangling_Card.png"
"File","File:Character Xiangling Card.png","/wiki/File:Character_Xiangling_Card.png"
"File","File:Character Xiao Card.png","/wiki/File:Character_Xiao_Card.png"
"File","File:Character Xiao Card.png","/wiki/File:Character_Xiao_Card.png"
"File","File:Character Xingqiu Card.jpg","/wiki/File:Character_Xingqiu_Card.jpg"
"File","File:Character Xingqiu Card.jpg","/wiki/File:Character_Xingqiu_Card.jpg"
"File","File:Character Xingqiu Card.png","/wiki/File:Character_Xingqiu_Card.png"
"File","File:Character Xingqiu Card.png","/wiki/File:Character_Xingqiu_Card.png"
"File","File:Character Xinyan Card.jpeg","/wiki/File:Character_Xinyan_Card.jpeg"
"File","File:Character Xinyan Card.jpeg","/wiki/File:Character_Xinyan_Card.jpeg"
"File","File:Character Yae Miko Card.png","/wiki/File:Character_Yae_Miko_Card.png"
"File","File:Character Yae Miko Card.png","/wiki/File:Character_Yae_Miko_Card.png"
"File","File:Character Yanfei Card.png","/wiki/File:Character_Yanfei_Card.png"
"File","File:Character Yanfei Card.png","/wiki/File:Character_Yanfei_Card.png"
"File","File:Character Yelan Card.png","/wiki/File:Character_Yelan_Card.png"
"File","File:Character Yelan Card.png","/wiki/File:Character_Yelan_Card.png"
"File","File:Character Yoimiya Card.png","/wiki/File:Character_Yoimiya_Card.png"
"File","File:Character Yoimiya Card.png","/wiki/File:Character_Yoimiya_Card.png"
"File","File:Character Yun Jin Card.png","/wiki/File:Character_Yun_Jin_Card.png"
"File","File:Character Yun Jin Card.png","/wiki/File:Character_Yun_Jin_Card.png"
"File","File:Character Zhongli Card.png","/wiki/File:Character_Zhongli_Card.png"
"File","File:Character Zhongli Card.png","/wiki/File:Character_Zhongli_Card.png"
"File","File:Traveler Card.png","/wiki/File:Traveler_Card.png"
"File","File:Traveler Card.png","/wiki/File:Traveler_Card.png"
"File","File:Traveler Female Card.jpg","/wiki/File:Traveler_Female_Card.jpg"
"File","File:Traveler Female Card.jpg","/wiki/File:Traveler_Female_Card.jpg"
"File","File:Traveler Female Card.png","/wiki/File:Traveler_Female_Card.png"
"File","File:Traveler Female Card.png","/wiki/File:Traveler_Female_Card.png"
"File","File:Traveler Male Card.jpg","/wiki/File:Traveler_Male_Card.jpg"
"File","File:Traveler Male Card.jpg","/wiki/File:Traveler_Male_Card.jpg"
"File","File:Traveler Male Card.png","/wiki/File:Traveler_Male_Card.png"
"File","File:Traveler Male Card.png","/wiki/File:Traveler_Male_Card.png"
"Misc","Special:Categories","/wiki/Special:Categories"
"Misc","Category:Official Media","/wiki/Category:Official_Media"
"Misc","Fandom","https://www.fandom.com/"
